,Product,rentabilite,regions,Prix,Lien
2051,"                                 Ensemble immobilier, potentiel a developp...                             "," 3,31 ",                             Marnay (Franche-comte) ,210.000,https://www.labonnepierre.com/fr/maison/nord-ouest/108321-ensemble-immobilier-potentiel-a-developper.html
2052,                                 Pas besoin de traverser la planète                             ," 3,31 ",                             st chinian (Languedoc-roussillon) ,254.000,https://www.labonnepierre.com/fr/maison/nord-ouest/117683-pas-besoin-de-traverser-la-planete.html
2053,                                 MAISON DE VILLE F 5-LOGGIA+APPT T2                             ," 3,30 ",                             ST LAURENT DE LA SALANQUE (Languedoc-roussillon) ,192.500,https://www.labonnepierre.com/fr/maison/ndf/103200-maison-de-ville-f-5-loggia-appt-t2.html
2054,                                 MAISON DE VILLE RENOVEE F5-LOGGIA+APP T2                             ," 3,30 ",                             SAINT LAURENT DE LA SALANQUE (Languedoc-roussillon) ,192.500,https://www.labonnepierre.com/fr/maison/ndf/103201-maison-de-ville-renovee-f5-loggia-app-t2.html
2055,"                                 À 100 m des plages, T3                             "," 3,30 ",                             Roquebrune-Cap-Martin (Provence-alpes-cote d'azur) ,380.000,https://www.labonnepierre.com/fr/r%C3%A9sidence-tourisme/nord-ouest/121258-a-100-m-des-plages-t3.html
2056,                                 Grande villa des années 60                             ," 3,29 ",                             randens (Rhone-alpes) ,230.000,https://www.labonnepierre.com/fr/maison/nord-ouest/123149-grande-villa-des-annees-60.html
2057,                                 Maison de village divisée en deux logemen...                             ," 3,28 ",                             Mallemort (Provence-alpes-cote d'azur) ,274.000,https://www.labonnepierre.com/fr/maison/nord-ouest/109160-maison-de-village-divisee-en-deux-logements.html
2058,                                 Résidence Jean Moulin Beau 3 pièces                             ," 3,28 ",                             cannes la bocca (Provence-alpes-cote d'azur) ,139.000,https://www.labonnepierre.com/fr/appartement/nord-ouest/102475-residence-jean-moulin-beau-3-pieces.html
2059,"                                 En plein centre, immeuble partiellement l...                             "," 3,27 ",                             Oloron-Sainte-Marie (Aquitaine) ,147.000,https://www.labonnepierre.com/fr/immeuble/nord-ouest/85480-en-plein-centre-immeuble-partiellement-loue.html
2060,"                                 A proximité des Folies Bergères, charmant...                             "," 3,25 ",                             Paris 9eme arrondissement (Ile-de-france) ,295.000,https://www.labonnepierre.com/fr/appartement/nord-ouest/103434-a-proximite-des-folies-bergeres-charmant-deux-pieces-en-duplex.html
