,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
127,[],48.8585635,2.3533957,Fleux',48.85876287681194,2.3541614413261414,Furniture / Home Store
128,[],48.8585635,2.3533957,Comptoir Gourmet,48.859958,2.354374,Restaurant
129,[],48.8585635,2.3533957,Benedict,48.85820815365001,2.3560811411196494,French Restaurant
130,[],48.8585635,2.3533957,Maison Aleph,48.857348,2.354873,Pastry Shop
131,[],48.8585635,2.3533957,Galerie Azzedine Alaïa,48.857544773243966,2.3552169725375203,Art Gallery
132,[],48.8585635,2.3533957,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
133,[],48.8585635,2.3533957,Place de l'Hôtel de Ville – Esplanade de la Libération,48.85692475726913,2.3514118156673676,Plaza
134,[],48.8585635,2.3533957,Fontaine Stravinsky,48.8595783989043,2.35155527020609,Fountain
135,[],48.8585635,2.3533957,Pierre Hermé,48.858127142288076,2.356441979666563,Pastry Shop
136,[],48.8585635,2.3533957,Grand Cœur,48.859737289195145,2.353591484368578,Restaurant
137,[],48.8641217,2.3515042,Partisan,48.86475435958546,2.3530692174680863,Coffee Shop
138,[],48.8641217,2.3515042,Ma Cave Fleury,48.86550541020573,2.350544335615611,Wine Bar
139,[],48.8641217,2.3515042,Le Derrière,48.8644695009521,2.3541775345802307,French Restaurant
140,[],48.8641217,2.3515042,Passage du Grand Cerf,48.86476,2.349486,Pedestrian Plaza
141,[],48.8641217,2.3515042,Trois Fois plus de Piment,48.8628,2.35237,Szechuan Restaurant
142,[],48.8641217,2.3515042,Raviolis Chinois Nord-Est,48.862851,2.349547,Chinese Restaurant
143,[],48.8641217,2.3515042,Bo&Mie,48.86404955512182,2.3504438996315002,Bakery
144,[],48.8641217,2.3515042,Rice & Fish,48.865149788345164,2.351435201806962,Sushi Restaurant
145,[],48.8641217,2.3515042,La Maison du Saké,48.86452103864269,2.3492260814537356,Japanese Restaurant
146,[],48.8641217,2.3515042,Hôtel Les Bains,48.863830207014814,2.351970076560974,Hotel
147,[],48.8675804,2.3524475,La Gaîté Lyrique,48.866960582699605,2.353601118831604,Concert Hall
148,[],48.8675804,2.3524475,Tealer,48.86804419126771,2.3505592346191406,Boutique
